"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"92","HG00253","I","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"93","HG00254","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"94","HG00255","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"95","HG00256","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"96","HG00257","JT","InfiniumOmniExpressExome-8v1-4_A1-b37","JT","JT",TRUE,TRUE
"97","HG00258","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"98","HG00259","T","InfiniumOmniExpressExome-8v1-4_A1-b37","T","T",TRUE,TRUE
"99","HG00260","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"100","HG00261","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"101","HG00262","T","InfiniumOmniExpressExome-8v1-4_A1-b37","T","T",TRUE,TRUE
"102","HG00263","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"103","HG00264","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"104","HG00265","T","InfiniumOmniExpressExome-8v1-4_A1-b37","T","T",TRUE,TRUE
"105","HG00266","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"106","HG00267","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"107","HG00268","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"108","HG00269","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"109","HG00271","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"110","HG00272","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"111","HG00273","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"112","HG00274","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"113","HG00275","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"114","HG00276","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"115","HG00277","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"116","HG00278","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"117","HG00280","X2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"118","HG00281","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"119","HG00282","V","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"120","HG00284","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"121","HG00285","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"122","HG00288","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"123","HG00290","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"124","HG00304","H2a","InfiniumOmniExpressExome-8v1-4_A1-b37","H2","H2",FALSE,FALSE
"125","HG00306","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"126","HG00308","W","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"127","HG00309","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"128","HG00310","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"129","HG00311","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"130","HG00313","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"131","HG00315","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"132","HG00318","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"133","HG00319","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"134","HG00320","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"135","HG00321","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"136","HG00323","V","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"137","HG00324","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"138","HG00325","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"139","HG00326","K1","InfiniumOmniExpressExome-8v1-4_A1-b37","K1","K1",TRUE,TRUE
"140","HG00327","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"141","HG00328","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"142","HG00329","I","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"143","HG00330","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"144","HG00331","K1","InfiniumOmniExpressExome-8v1-4_A1-b37","K1","K1",TRUE,TRUE
"145","HG00332","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"146","HG00334","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"147","HG00335","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"148","HG00336","W","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"149","HG00337","T","InfiniumOmniExpressExome-8v1-4_A1-b37","T","T",TRUE,TRUE
"150","HG00338","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"151","HG00339","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"152","HG00341","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"153","HG00342","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"154","HG00343","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"155","HG00344","T","InfiniumOmniExpressExome-8v1-4_A1-b37","T","T",TRUE,TRUE
"156","HG00345","V","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"157","HG00346","K1","InfiniumOmniExpressExome-8v1-4_A1-b37","K1","K1",TRUE,TRUE
"158","HG00349","K1","InfiniumOmniExpressExome-8v1-4_A1-b37","K1","K1",TRUE,TRUE
"159","HG00350","HV","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"160","HG00351","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"161","HG00353","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"162","HG00355","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"163","HG00356","T","InfiniumOmniExpressExome-8v1-4_A1-b37","T","T",TRUE,TRUE
"164","HG00357","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"165","HG00358","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"166","HG00360","H2a","InfiniumOmniExpressExome-8v1-4_A1-b37","H2","H2",FALSE,FALSE
"167","HG00361","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"168","HG00362","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"169","HG00364","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"170","HG00365","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"171","HG00366","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"172","HG00367","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"173","HG00368","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"174","HG00369","I","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"175","HG00371","X2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"176","HG00372","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"177","HG00373","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"178","HG00375","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
