chip,A,A2,B2,B4b'd'e,B5,C,D,D1,D4,H,H2,H2a,H2a2a,HV,I,J,JT,K,K1,L0,L1,L1b,L2,L2'3'4'5'6,L3,L3'4,M,N,R,T,T1,U,U8b,unclassified,V,W,X2
GSAMD-24v1-0_20011747_A1-b37,0.1,0.0672268907563025,1,0.928571428571429,0.953488372093023,1,0.888888888888889,0,1,0.995670995670996,0,1,0,0,0,1,1,1,1,1,0.978260869565217,1,0.785714285714286,0.555555555555556,0.925795053003534,0.6,0.940446650124069,0.977777777777778,0.93801652892562,0.957446808510638,0.25,1,0,0,0.9375,0,0
GSAMD-24v2-0_20024620_A1-b37,1,1,1,1,1,1,1,1,1,1,1,1,1,0.903225806451613,1,1,1,1,1,1,1,1,1,1,1,1,0.997518610421836,0.955555555555556,1,0.936170212765957,1,1,1,1,0.9375,1,0
GSCA-24v1-0_20010441_A1-b37,0.1,0.0672268907563025,1,0.928571428571429,0.953488372093023,1,0.925925925925926,0,1,0.995670995670996,0,1,0,0,0,1,1,1,1,1,0.978260869565217,1,0.78125,0.555555555555556,0.925795053003534,0.6,0.940446650124069,0.977777777777778,0.929752066115702,0.957446808510638,0.25,1,0,0,0.9375,0,0
Human1-2M-DuoCustom_v1_A-b37,0.2,0.915966386554622,1,1,1,1,0.851851851851852,0.130434782608696,0.961038961038961,1,1,1,0,0.709677419354839,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.652892561983471,0.893617021276596,1,1,1,0,0.9375,1,0
Human1M-Duov3_B-b37,0.2,0.915966386554622,1,1,1,1,0.888888888888889,0.130434782608696,0.961038961038961,1,1,1,0,0.741935483870968,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.661157024793388,0.893617021276596,1,1,1,0,0.9375,1,0
Human1M-Duov3_C-b37,0.2,0.915966386554622,1,1,1,1,0.888888888888889,0.130434782608696,0.961038961038961,1,1,1,0,0.741935483870968,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.661157024793388,0.893617021276596,1,1,1,0,0.9375,1,0
human1m-duov3_h-b37,0.2,0.907563025210084,1,1,1,1,0.925925925925926,0.0869565217391304,0.961038961038961,1,1,1,0,0.709677419354839,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.65702479338843,0.893617021276596,1,1,1,0,0.9375,1,0
Human1Mv1_C-b37,0.2,0.907563025210084,1,1,1,1,0.777777777777778,0,1,1,1,1,0,1,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.996466431095406,1,0.997518610421836,1,1,0.893617021276596,1,0.994475138121547,1,0,0.9375,1,0
Human610-Quadv1_B-b37,0.2,0.915966386554622,1,1,1,1,0.925925925925926,0.0869565217391304,0.961038961038961,1,1,1,0,0.741935483870968,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.65702479338843,0.893617021276596,1,1,1,0,0.9375,1,0
human610-quadv1_h-b37,0.2,0.915966386554622,1,1,1,1,0.925925925925926,0.0869565217391304,0.961038961038961,1,1,1,0,0.741935483870968,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.65702479338843,0.893617021276596,1,1,1,0,0.9375,1,0
Human660W-Quad_v1_A-b37,0.2,0.915966386554622,1,1,1,1,0.888888888888889,0.0869565217391304,0.961038961038961,1,1,1,0,0.67741935483871,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.661157024793388,0.893617021276596,1,1,1,0,0.9375,1,0
Human660W-Quad_v1_C-b37,0.2,0.915966386554622,1,1,1,1,0.888888888888889,0.0869565217391304,0.961038961038961,1,1,1,0,0.67741935483871,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.661157024793388,0.893617021276596,1,1,1,0,0.9375,1,0
