"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"AP008573.1"	"1-16569"	"G2"	"1"	"0.9458"
"AP008574.1"	"1-16569"	"D4b"	"1"	"0.9661"
"AP008575.1"	"1-16569"	"D4+195"	"1"	"0.9563"
"AP008576.1"	"1-16569"	"A"	"1"	"0.9551"
"AP008577.1"	"1-16569"	"F1+16189"	"1"	"0.9288"
"AP008578.1"	"1-16569"	"D4"	"1"	"0.9602"
"AP008579.1"	"1-16569"	"D4b"	"1"	"0.9661"
"AP008581.1"	"1-16569"	"A"	"1"	"0.9551"
"AP008582.1"	"1-16569"	"D4i"	"1"	"0.9690"
"AP008583.1"	"1-16569"	"D4b"	"1"	"0.9785"
"AP008585.1"	"1-16569"	"M7"	"1"	"0.9553"
"AP008586.1"	"1-16569"	"M7b1a1a1a"	"1"	"0.9779"
"AP008587.1"	"1-16569"	"D4"	"1"	"0.9651"
"AP008588.1"	"1-16569"	"M7b1a1a"	"1"	"0.9707"
"AP008589.1"	"1-16569"	"D4"	"1"	"0.9685"
"AP008590.1"	"1-16569"	"N9a2'4'5'11"	"1"	"0.9196"
"AP008591.1"	"1-16569"	"F1+16189"	"1"	"0.9125"
"AP008592.1"	"1-16569"	"M7"	"1"	"0.9570"
"AP008593.1"	"1-16569"	"G2"	"1"	"0.9458"
"AP008596.1"	"1-16569"	"A"	"1"	"0.9437"
"AP008598.1"	"1-16569"	"D4b"	"1"	"0.9709"
"AP008599.1"	"1-16569"	"M"	"1"	"0.9523"
"AP008600.1"	"1-16569"	"M7"	"1"	"0.9643"
"AP008602.1"	"1-16569"	"D4"	"1"	"0.9651"
"AP008605.1"	"1-16569"	"N9"	"1"	"0.9304"
"AP008606.1"	"1-16569"	"A"	"1"	"0.9514"
"AP008607.1"	"1-16569"	"N9"	"1"	"0.8814"
"AP008608.1"	"1-16569"	"N9a1'3"	"1"	"0.9257"
"AP008609.1"	"1-16569"	"D4"	"1"	"0.9511"
"AP008610.1"	"1-16569"	"N9"	"1"	"0.9184"
"AP008611.1"	"1-16569"	"D4"	"1"	"0.9668"
"AP008612.1"	"1-16569"	"D4+195"	"1"	"0.9510"
"AP008613.1"	"1-16569"	"G"	"1"	"0.9639"
"AP008614.1"	"1-16569"	"D4"	"1"	"0.9615"
"AP008615.1"	"1-16569"	"G2"	"1"	"0.9458"
"AP008616.1"	"1-16569"	"F1a'c'f"	"1"	"0.9326"
"AP008617.1"	"1-16569"	"A+152+16362"	"1"	"0.9626"
"AP008618.1"	"1-16569"	"G"	"1"	"0.9422"
"AP008619.1"	"1-16569"	"D+16189"	"1"	"0.9124"
