chip,A,A2,B2,B4b'd'e,B5,C,D,D1,D4,H,H2,H2a,H2a2a,HV,I,J,JT,K,K1,L0,L1,L1b,L2,L2'3'4'5'6,L3,L3'4,M,N,R,T,T1,U,U8b,unclassified,V,W,X2
HumanOmniZhongHua-8v1-2_A-b37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
InfiniumCore-24v1-1_A1-b37,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.666666666666667,1,0,1,0,0,0,0,0,0,0,0,0.962809917355372,1,0,0,0,0,0,0,0
InfiniumCoreExome-24v1-1_A-b37,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0.950530035335689,0,0,0,1,1,0,1,0,0,0,0,0
InfiniumCoreExome-24v1-2_A1-b37,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
InfiniumExome-24v1-1_A1-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,0,1,0,1,0,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
InfiniumOmni2-5-8v1-3_A1-b37,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
InfiniumOmni2-5Exome-8v1-3_A1-b37,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
InfiniumOmni2.5Exome-8v1-2_A-b37,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0.950530035335689,0,0,0,1,1,0,1,0,0,0,0,0
InfiniumOmni5-4v1-2_A1-b37,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0.933333333333333,0,1,1,1,0,1,0,0,0,0,0
InfiniumOmni5Exome-4v1-3_A1-b37,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
InfiniumOmniExpressExome-8v1-3_A-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,0,1,0,1,1,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
InfiniumOmniExpressExome-8v1-4_A1-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,0,1,0,1,0,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
InfiniumOmniZhongHua-8v1-3_A1-b37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
InfiniumOmniZhongHua-8v1-3_A2-b37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
InfiniumPsychArray-24v1-1_A1-b37,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0.950530035335689,0,0,0,1,1,0,1,0,0,0,0,0
InfiniumPsychArray-24v1-2_A1-b37,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
InfiniumPsychArray-24v1-2_A2-b37,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
Multi-EthnicGlobal_A1-b37,1,1,1,1,0.976744186046512,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0.978260869565217,0.978260869565217,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0
NeuroX_15036164_A-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,1,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
OmniExpressExome-8v1-1_A-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,1,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
OmniExpressExome-8v1-1_B-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,1,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
OncoArray-500K_B-b37,0,1,1,0,1,0,0,0,0,0,0,0,0,0.967741935483871,0,1,0,1,1,0,1,0,1,0,1,1,0,0.911111111111111,0.971074380165289,1,0,0.994475138121547,0,0,0,0.96,0
OncoArray-500K-C-b37,0,1,1,0,1,0,0,0,0,0,0,0,0,0.967741935483871,0,1,0,1,1,0,1,0,1,0,1,1,0,0.911111111111111,0.971074380165289,1,0,0.994475138121547,0,0,0,0.96,0
PsychArray_A-b37,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0.950530035335689,0,0,0,1,1,0,1,0,0,0,0,0
PsychArray-B-b37,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0.950530035335689,0,0,0,1,1,0,1,0,0,0,0,0
PsychChip_15048346_B-b37,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
PsychChip_v1-1_15073391_A1-b37,1,0,1,0,1,1,0,0,1,1,1,1,1,0.967741935483871,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
