sample,wgs,wgs_meta,typed,imputed,typed_meta,imputed_meta,typed_match,typed_meta_match,imputed_match,imputed_meta_match
ADNI_0572,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_0588,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_0602,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0605,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_0610,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0618,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0625,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0626,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_0637,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0644,K,K,K,K,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0649,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0657,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_0658,JT,JT,JT,JT,JT,JT,TRUE,TRUE,TRUE,TRUE
ADNI_0667,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0668,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0671,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0672,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0673,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_0677,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0679,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0680,K,K,K,K,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0685,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0686,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0695,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
