array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc,kHAP
HumanCoreExome-12v1-1_B-b37,NA,TRUE,0.826737003058104,287,140,227,654,590,0.63930544593528,0.940015785319653,1000
HumanCoreExome-12-v1-1-C-b37,NA,TRUE,0.82658868501529,287,140,227,654,589,0.63930544593528,0.937647987371744,1000
HumanCoreExome-24v1-0_A-b37,NA,TRUE,0.815666144200627,293,134,211,638,569,0.569455406471981,0.894632991318074,1000
InfiniumCoreExome-24v1-1_A-b37,NA,TRUE,0.821934579439252,291,136,215,642,576,0.569455406471981,0.899763220205209,1000
InfiniumCoreExome-24v1-2_A1-b37,NA,TRUE,0.827883614088821,290,137,226,653,592,0.548145224940805,0.942778216258879,1000
Cardio-Metabo_Chip_11395247_A-b37,NA,TRUE,0.609753303964758,327,100,27,454,328,0.616022099447514,0.909629044988161,1000
cardio-metabo_chip_11395247_c-b37,NA,TRUE,0.6095,327,100,27,454,328,0.616022099447514,0.909234411996843,1000
CVDSNP55v1_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
PsychArray_A-b37,NA,TRUE,0.793490353697749,306,121,195,622,545,0.56156274664562,0.891870560378848,1000
PsychArray-B-b37,NA,TRUE,0.79348231511254,306,121,195,622,546,0.56156274664562,0.893054459352802,1000
InfiniumPsychArray-24v1-1_A1-b37,NA,TRUE,0.7957336523126,308,119,200,627,551,0.470402525651144,0.875295974743489,1000
InfiniumPsychArray-24v1-2_A1-b37,NA,TRUE,0.820759630200308,293,134,222,649,582,0.548145224940805,0.938831886345698,1000
InfiniumPsychArray-24v1-2_A2-b37,NA,TRUE,0.820759630200308,293,134,222,649,582,0.548145224940805,0.938831886345698,1000
PsychChip_15048346_B-b37,NA,TRUE,0.8265,287,140,227,654,589,0.63930544593528,0.938042620363062,1000
PsychChip_v1-1_15073391_A1-b37,NA,TRUE,0.839254931714719,277,150,232,659,602,0.651144435674822,0.965666929755328,1000
GSAMD-24v1-0_20011747_A1-b37,NA,TRUE,0.606263265306122,370,57,63,490,348,0.362273086029992,0.863456985003946,1000
GSAMD-24v2-0_20024620_A1-b37,NA,TRUE,0.95250985915493,140,287,638,1065,1041,0.867403314917127,0.990528808208366,1000
GSA-24v1-0_A1-b37,NA,TRUE,0.605486707566462,370,57,62,489,346,0.362273086029992,0.86069455406472,1000
GSA-24v1-0_A2-b37,NA,TRUE,0.605486707566462,370,57,62,489,346,0.362273086029992,0.86069455406472,1000
GSA-24v1-0_A6-b37,NA,TRUE,0.605574642126789,370,57,62,489,348,0.362273086029992,0.863851617995264,1000
GSA-24v2-0_A1-b37,NA,TRUE,0.921308163265306,208,219,553,980,942,0.80939226519337,0.988161010260458,1000
GSCA-24v1-0_20010441_A1-b37,NA,TRUE,0.606063265306122,370,57,63,490,348,0.362273086029992,0.863062352012628,1000
OncoArray-500K_B-b37,NA,TRUE,0.61775,376,51,73,500,369,0.589976322020521,0.937253354380426,1000
OncoArray-500K-C-b37,NA,TRUE,0.618038,376,51,73,500,371,0.589976322020521,0.938042620363062,1000
Consortium-OncoArray_15047405_A-b37,NA,TRUE,0.625146534653465,374,53,78,505,378,0.589976322020521,0.939226519337017,1000
NeuroX_15036164_A-b37,NA,TRUE,0.698240350877193,358,69,143,570,463,0.503157063930545,0.847671665351223,1000
Mapping250K_Nsp.na32.annot-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
Mapping250K_Sty.na32.annot-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
GenomeWideSNP_6.na33.annot-b37,NA,TRUE,0.729206766917293,315,112,105,532,443,0.622730860299921,0.962904498816101,1000
