seqID,Country
AP009468.1,NA
AP009469.1,NA
AP009470.1,NA
AP009472.1,NA
AP009473.1,NA
AP009474.1,NA
AP009475.1,NA
AP010661.1,NA
AP010662.1,NA
AP010663.1,NA
AP010664.1,NA
AP010665.1,NA
AP010666.1,NA
AP010667.1,NA
AP010668.1,NA
AP010669.1,NA
AP010670.1,NA
AP010672.1,NA
AP010673.1,NA
AP010674.1,NA
AP010675.1,NA
AP010676.1,NA
AP010677.1,NA
AP010678.1,NA
AP010680.1,NA
AP010681.1,NA
AP010682.1,NA
AP010683.1,NA
AP010684.1,NA
AP010685.1,NA
AP010687.1,NA
AP010688.1,NA
AP010690.1,NA
AP010692.1,NA
AP010693.1,NA
AP010694.1,NA
AP010695.1,NA
AP010697.1,NA
AP010698.1,NA
AP010699.1,NA
AP010700.1,NA
AP010701.1,NA
AP010702.1,NA
AP010703.1,NA
AP010706.1,NA
AP010707.1,NA
AP010708.1,NA
AP010709.1,NA
AP010710.1,NA
AP010711.1,NA
AP010712.1,NA
AP010713.1,NA
AP010714.1,NA
AP010715.1,NA
AP010716.1,NA
AP010717.1,NA
AP010719.1,NA
AP010720.1,NA
AP010721.1,NA
AP010722.1,NA
AP010723.1,NA
AP010724.1,NA
AP010725.1,NA
AP010726.1,NA
AP010727.1,NA
AP010728.1,NA
AP010729.1,NA
AP010730.1,NA
AP010731.1,NA
AP010732.1,NA
AP010734.1,NA
AP010736.1,NA
AP010737.1,NA
AP010738.1,NA
AP010739.1,NA
AP010741.1,NA
AP010742.1,NA
AP010743.1,NA
AP010744.1,NA
AP010745.1,NA
AP010746.1,NA
AP010747.1,NA
AP010748.1,NA
AP010749.1,NA
AP010750.1,NA
AP010751.1,NA
AP010752.1,NA
AP010753.1,NA
AP010754.1,NA
AP010756.1,NA
AP010758.1,NA
AP010759.1,NA
AP010760.1,NA
AP010762.1,NA
AP010763.1,NA
AP010764.1,NA
AP010765.1,NA
AP010766.1,NA
AP010767.1,NA
AP010768.1,NA
AP010770.1,NA
AP010772.1,NA
AP010824.1,NA
AP010825.1,NA
AP010826.1,NA
AP010827.1,NA
AP010828.1,NA
AP010829.1,NA
AP010830.1,NA
AP010831.1,NA
AP010832.1,NA
AP010833.1,NA
AP010834.1,NA
AP010837.1,NA
AP010970.1,NA
AP010971.1,NA
AP010972.1,NA
AP010973.1,NA
AP010974.1,NA
AP010975.1,NA
AP010976.1,NA
AP010977.1,NA
AP010978.1,NA
AP010979.1,NA
AP010980.1,NA
AP010981.1,NA
AP010982.1,NA
AP010983.1,NA
AP010984.1,NA
AP010985.1,NA
AP010986.1,NA
AP010987.1,NA
AP010988.1,NA
AP010989.1,NA
AP010990.1,NA
AP010991.1,NA
AP010992.1,NA
AP010993.1,NA
AP010994.1,NA
AP010995.1,NA
AP010996.1,NA
AP010997.1,NA
AP010998.1,NA
AP010999.1,NA
AP011001.1,NA
AP011004.1,NA
AP011005.1,NA
AP011006.1,NA
AP011007.1,NA
AP011008.1,NA
AP011009.1,NA
AP011010.1,NA
AP011011.1,NA
AP011012.1,NA
AP011013.1,NA
AP011014.1,NA
AP011015.1,NA
AP011016.1,NA
AP011017.1,NA
AP011019.1,NA
AP011020.1,NA
AP011021.1,NA
AP011022.1,NA
AP011023.1,NA
AP011024.1,NA
AP011025.1,NA
AP011026.1,NA
AP011027.1,NA
AP011029.1,NA
AP011030.1,NA
AP011031.1,NA
AP011032.1,NA
AP011033.1,NA
AP011034.1,NA
AP011035.1,NA
AP011036.1,NA
AP011037.1,NA
AP011038.1,NA
AP011039.1,NA
AP011040.1,NA
AP011041.1,NA
AP011042.1,NA
AP011044.1,NA
AP011045.1,NA
AP011046.1,NA
AP011047.1,NA
AP011048.1,NA
AP011049.1,NA
AP011051.1,NA
AP011052.1,NA
AP011053.1,NA
AP011054.1,NA
AP011055.1,NA
AP011056.1,NA
AP011057.1,NA
AP012346.1,NA
AP012347.1,NA
AP012348.1,NA
AP012349.1,NA
AP012350.1,NA
AP012351.1,NA
AP012352.1,NA
AP012353.1,NA
AP012354.1,NA
AP012355.1,NA
AP012357.1,NA
AP012358.1,NA
AP012359.1,NA
AP012360.1,NA
AP012362.1,NA
AP012363.1,NA
AP012365.1,NA
AP012366.1,NA
AP012367.1,NA
AP012368.1,NA
AP012369.1,NA
AP012370.1,NA
AP012371.1,NA
AP012372.1,NA
AP012373.1,NA
AP012374.1,NA
AP012375.1,NA
AP012376.1,NA
AP012377.1,NA
AP012378.1,NA
AP012379.1,NA
AP012380.1,NA
AP012381.1,NA
AP012382.1,NA
AP012383.1,NA
AP012384.1,NA
AP012385.1,NA
AP012386.1,NA
AP012387.1,NA
AP012388.1,NA
AP012389.1,NA
AP012390.1,NA
AP012391.1,NA
AP012392.1,NA
AP012393.1,NA
AP012394.1,NA
AP012395.1,NA
AP012396.1,NA
AP012397.1,NA
AP012398.1,NA
AP012399.1,NA
AP012400.1,NA
AP012401.1,NA
AP012402.1,NA
AP012403.1,NA
AP012404.1,NA
AP012405.1,NA
AP012406.1,NA
AP012408.1,NA
AP012409.1,NA
AP012410.1,NA
AP012411.1,NA
AP012412.1,NA
AP012413.1,NA
AP012414.1,NA
AP012416.1,NA
AP012417.1,NA
AP012418.1,NA
AP012419.1,NA
AP012420.1,NA
AP012421.1,NA
AP012422.1,NA
AP012423.1,NA
AP012425.1,NA
AP012426.1,NA
AP012427.1,NA
AP012428.1,NA
AP012429.1,NA
AP012430.1,NA
AP012431.1,NA
AY195745.2,NA
AY195746.2,NA
AY195747.2,NA
AY195748.1,NA
AY195750.1,NA
AY195751.1,NA
AY195752.2,NA
AY195753.2,NA
AY195754.2,NA
AY195755.2,NA
AY195756.2,NA
AY195757.1,NA
AY195758.2,NA
AY195759.2,NA
AY195760.2,NA
AY195761.1,NA
AY195762.2,NA
AY195763.2,NA
AY195764.1,NA
AY195765.2,NA
AY195766.1,NA
AY195767.2,NA
AY195768.2,NA
AY195769.2,NA
AY195772.2,NA
AY195773.1,NA
AY195774.2,NA
AY195775.2,NA
AY195776.2,NA
AY195778.2,NA
AY195779.2,NA
AY195780.1,NA
AY195781.2,NA
AY195782.2,NA
AY195783.2,NA
AY195784.2,NA
AY195785.2,NA
AY195786.2,NA
AY195787.1,NA
AY195788.2,NA
AY195789.2,NA
AY195790.2,NA
AY195791.2,NA
AY195792.2,NA
AY245555.1,NA
AY255134.2,NA
AY255137.1,NA
AY255138.1,NA
AY255139.1,NA
AY255141.1,NA
AY255142.1,NA
AY255143.1,NA
AY255144.1,NA
AY255146.1,NA
AY255147.1,NA
AY255148.1,NA
AY255150.1,NA
AY255151.1,NA
AY255152.1,NA
AY255153.1,NA
AY255154.1,NA
AY255155.1,NA
AY255156.1,NA
AY255157.1,NA
AY255158.1,NA
AY255159.1,NA
AY255160.1,NA
AY255161.1,NA
AY255162.1,NA
AY255163.1,NA
AY255164.1,NA
AY255166.1,NA
AY255167.1,NA
AY255168.1,NA
AY255169.1,NA
AY255171.1,NA
AY255172.1,NA
AY255173.1,NA
AY255174.1,NA
AY255175.1,NA
AY255176.1,NA
AY255177.1,NA
AY255178.2,NA
AY255180.1,NA
AY275527.2,NA
AY275528.1,NA
AY275529.1,NA
AY275530.1,NA
AY275531.2,NA
AY275532.2,NA
AY275533.2,NA
AY275534.1,NA
AY275535.2,NA
AY275536.3,NA
AY275537.2,NA
AY289051.1,NA
AY289052.1,NA
AY289053.1,NA
AY289054.1,NA
AY289055.1,NA
AY289056.1,NA
AY289057.1,NA
AY289058.1,NA
AY289059.1,NA
AY289060.1,NA
AY289061.1,NA
AY289062.1,NA
AY289063.1,NA
AY289064.1,NA
AY289065.1,NA
AY289066.1,NA
AY289067.1,NA
AY289070.1,NA
AY289071.1,NA
AY289072.1,NA
AY289073.1,NA
AY289074.1,NA
AY289075.1,NA
AY289078.1,NA
AY289079.1,NA
AY289081.1,NA
AY289082.1,NA
AY289084.1,NA
AY289085.1,NA
AY289086.1,NA
AY289087.1,NA
AY289088.1,NA
AY289089.1,NA
AY289090.1,NA
AY289091.1,NA
AY289092.1,NA
AY289095.1,NA
AY289096.1,NA
AY289097.1,NA
AY289098.1,NA
AY289099.1,NA
AY339402.1,NA
AY339403.1,NA
AY339404.1,NA
AY339405.1,NA
AY339406.1,NA
AY339407.1,NA
AY339408.1,NA
AY339409.2,NA
AY339410.2,NA
AY339411.1,NA
AY339412.1,NA
AY339413.1,NA
AY339414.1,NA
AY339415.1,NA
AY339416.1,NA
AY339417.1,NA
AY339418.1,NA
AY339419.1,NA
AY339420.1,NA
AY339421.1,NA
AY339422.1,NA
AY339423.1,NA
AY339424.1,NA
AY339425.1,NA
AY339426.1,NA
AY339427.1,NA
AY339428.1,NA
AY339429.1,NA
AY339430.1,NA
AY339431.1,NA
AY339432.1,NA
AY339433.1,NA
AY339434.1,NA
AY339435.1,NA
AY339436.1,NA
AY339437.1,NA
AY339438.1,NA
AY339439.1,NA
AY339440.1,NA
AY339441.1,NA
AY339442.1,NA
AY339443.1,NA
AY339444.1,NA
AY339445.1,NA
AY339446.1,NA
AY339447.1,NA
AY339448.1,NA
AY339449.1,NA
AY339450.1,NA
