array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
HumanOmni5Exome-4v1-2_A-b37,0.05,TRUE,0.832580495356037,304,123,219,646,591,0.567087608524073,0.906866614048935
InfiniumOmni5Exome-4v1-3_A1-b37,0.05,TRUE,0.856638036809816,280,147,225,652,612,0.554853985793212,0.964483030781373
HumanCytoSNP-12v1-0_D-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCytoSNP-12v2.1-FFPE_G-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2_h-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_h-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_l-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
cytosnp-850k_b-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CytoSNP-850K_v1-1_iScan_A1-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humancore-12v1-0_a-b37,0.05,TRUE,0.764306640625,342,85,85,512,453,0.207971586424625,0.857537490134175
HumanCore-12-v1-0-B-b37,0.05,TRUE,0.7643984375,342,85,85,512,452,0.207971586424625,0.856748224151539
humancore-24-v1-0-manifest-file-a-b37,0.05,TRUE,0.7650234375,343,84,85,512,451,0.207971586424625,0.857142857142857
InfiniumCore-24v1-1_A1-b37,0.05,TRUE,0.734401174168297,353,74,84,511,441,0.207971586424625,0.856353591160221
Immuno_BeadChip_11419691_B-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumImmunoArray-24v2-0_A-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Multi-EthnicGlobal_A1-b37,0.05,TRUE,0.899392857142857,242,185,413,840,803,0.683109707971586,0.976716653512234
HumanExome-12v1_A-b37,0.05,TRUE,0.742755671902269,354,73,146,573,487,0.503157063930545,0.868192580899763
HumanExome-12v1-1_A-b37,0.05,TRUE,0.728617543859649,358,69,143,570,477,0.503157063930545,0.872138910812944
HumanExome-12v1-2_A-b37,0.05,TRUE,0.719242105263158,359,68,143,570,472,0.490923441199684,0.863456985003946
InfiniumExome-24v1-1_A1-b37,0.05,TRUE,0.71136524822695,360,67,137,564,457,0.399763220205209,0.888318863456985
HumanCoreExome-12v1-0_B-b37,0.05,TRUE,0.859372699386503,282,145,225,652,611,0.651144435674822,0.969613259668508
humancoreexome-12v1-0_c-b37,0.05,TRUE,0.858886503067485,282,145,225,652,608,0.651144435674822,0.970007892659826
HumanCoreExome-12-v1-0-D-b37,0.05,TRUE,0.858886503067485,282,145,225,652,608,0.651144435674822,0.970007892659826
humancoreexome-12v1-1_a-b37,0.05,TRUE,0.854266055045872,287,140,227,654,608,0.63930544593528,0.949881610102605
HumanCoreExome-12v1-1_B-b37,0.05,TRUE,0.854516819571865,287,140,227,654,609,0.63930544593528,0.949486977111286
HumanCoreExome-12-v1-1-C-b37,0.05,TRUE,0.854139143730887,287,140,227,654,609,0.63930544593528,0.950670876085241
HumanCoreExome-24v1-0_A-b37,0.05,TRUE,0.844721003134796,293,134,211,638,588,0.560378847671665,0.889897395422257
InfiniumCoreExome-24v1-1_A-b37,0.05,TRUE,0.847626168224299,291,136,215,642,597,0.560378847671665,0.911207576953433
InfiniumCoreExome-24v1-2_A1-b37,0.05,TRUE,0.855275650842266,290,137,226,653,611,0.539068666140489,0.940015785319653
